FEATURES_TXT_BEGIN_0 0 100 8 Distortion0_0 LM0_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-3 -43.9733 -4 3 -5.62625 -7.30201 -4.75174 -5.62783 
-3 -43.1071 -4 3 -5.43953 -7.42271 -5.78136 -6.61823 
-4 -43.6553 -4 3 -1.89712 -4.11575 -7.3908 -8.0846 
-4 -48.9337 -5 3 -2.12026 -3.9967 -6.69765 -3.59017 
-3 -49.8101 -5 3 -2.12026 -3.9967 -6.69765 -3.59017 
-5 -43.4622 -5 3 -5.88842 -7.33324 -6.69765 -8.78998 
-3 -45.3464 -4 3 -4.97299 -7.36548 -3.70192 -4.54844 
-4 -42.5461 -4 3 -5.43953 -7.42271 -5.78136 -6.61823 
-6 -44.308 -5 3 -4.6217 -6.19116 -7.3908 -6.83984 
-4 -42.4218 -4 3 -5.62482 -7.30971 -6.29219 -6.98596 
-5 -42.0872 -4 3 -5.43953 -7.42271 -5.78136 -6.61823 
-4 -43.014 -4 3 -3.60187 -6.01671 -7.3908 -7.57373 
-3 -46.336 -4 3 -3.51109 -5.24979 -4.9929 -5.71744 
0 -46.3215 -4 3 -2.12026 -5.48263 -7.3908 -9.18321 
0 -45.7976 -4 3 -3.55535 -6.45608 -7.3908 -8.49006 
0 -46.7582 -4 3 -3.60187 -6.01671 -7.3908 -7.57373 
-5 -42.4625 -4 3 -5.62482 -7.30971 -6.29219 -6.98596 
-5 -45.9629 -5 3 -4.6217 -6.19116 -7.3908 -6.83984 
-4 -43.3458 -4 3 -4.23652 -6.6291 -6.69765 -8.49006 
-5 -42.4906 -4 3 -3.55535 -6.45608 -7.3908 -8.49006 
-4 -51.5849 -5 3 -1.60944 -3.94832 -4.61821 -4.23057 
-3 -44.4703 -4 3 -5.62482 -7.30971 -6.29219 -6.98596 
-4 -45.4827 -4 3 -1.89712 -4.11575 -7.3908 -8.0846 
-5 -44.7775 -4 3 -1.89712 -4.11575 -7.3908 -8.0846 
-5 -45.1401 -4 3 -1.60944 -3.90218 -7.3908 -7.79686 
-5 -43.1668 -4 3 -4.23652 -6.6291 -6.69765 -8.49006 
-4 -51.0579 -5 3 -2.12026 -3.9967 -6.69765 -3.59017 
-3 -47.6216 -5 3 -5.88842 -7.33324 -6.69765 -8.78998 
-6 -44.7775 -4 3 -1.89712 -4.11575 -7.3908 -8.0846 
-5 -44.3447 -4 3 -2.12026 -5.48263 -7.3908 -9.18321 
-6 -45.1401 -4 3 -1.60944 -3.90218 -7.3908 -7.79686 
-4 -45.2156 -4 3 -2.30258 -5.422 -7.3908 -9.18321 
-6 -43.1668 -4 3 -4.23652 -6.6291 -6.69765 -8.49006 
-5 -44.5239 -4 3 -2.30258 -5.422 -7.3908 -9.18321 
-5 -44.7813 -4 3 -3.60187 -6.01671 -7.3908 -7.57373 
-4 -45.6548 -4 3 -2.12026 -5.48263 -7.3908 -9.18321 
-4 -45.2339 -4 3 -3.55535 -6.45608 -7.3908 -8.49006 
-4 -45.9333 -4 3 -2.30258 -5.422 -7.3908 -9.18321 
-6 -44.3447 -4 3 -2.12026 -5.48263 -7.3908 -9.18321 
FEATURES_TXT_END_0
FEATURES_TXT_BEGIN_0 1 100 8 Distortion0_0 LM0_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-18 -283.909 -16 11 -11.865 -18.7239 -6.03162 -18.5785 
-18 -283.065 -15 11 -11.865 -18.7239 -5.33847 -16.9145 
0 -304.312 -16 11 -8.76609 -12.2646 -8.10251 -16.7722 
-24 -279.065 -15 11 -11.865 -18.7239 -5.33847 -16.9145 
-4 -302.449 -16 11 -8.76609 -12.2646 -8.10251 -16.7722 
0 -303.08 -15 11 -9.51365 -12.6423 -7.81483 -15.3287 
